branch,category,age_days,changed_lines,files_changed,last_commit_subject,compare_url
origin/jules-12471882554818161925-3c6a5e67,candidate,55,110,1,docs: update AGENTS.md to enforce 5-stage completion and reporting rules,https://github.com/tamago2022/joy-relief-station/compare/main...jules-12471882554818161925-3c6a5e67
origin/agent/issue-60-public-seven-run-2,candidate,52,167,4,58号: 実行済みトリガーを成果PRから除外,https://github.com/tamago2022/joy-relief-station/compare/main...agent/issue-60-public-seven-run-2
origin/ops/lovable-deploy-verifier,candidate,52,128,2,57号/58号: Lovable公開bundleを実データで検品,https://github.com/tamago2022/joy-relief-station/compare/main...ops/lovable-deploy-verifier
origin/ops/lovable-check-60,candidate,52,106,1,58号: Lovable公開bundleの確認を実行,https://github.com/tamago2022/joy-relief-station/compare/main...ops/lovable-check-60
origin/agent/task-82-work,candidate,51,116,3,61号: QA失敗ログの一時デバッグ保存を再追加（マージ前に削除）,https://github.com/tamago2022/joy-relief-station/compare/main...agent/task-82-work
origin/fix/visible-outcome-gate,candidate,51,243,3,fix: 自律仕事をLovable店頭成果必須へ変更,https://github.com/tamago2022/joy-relief-station/compare/main...fix/visible-outcome-gate
origin/fix/visible-outcome-gate-v2,candidate,51,243,3,fix: 自律仕事をLovable店頭成果必須へ変更,https://github.com/tamago2022/joy-relief-station/compare/main...fix/visible-outcome-gate-v2
origin/agent/ai-memory-bus-phase3,candidate,46,230,4,docs(memory): add dispatch API and dashboard feed,https://github.com/tamago2022/joy-relief-station/compare/main...agent/ai-memory-bus-phase3
origin/agent/ai-memory-bus-phase2,candidate,46,188,4,【共有記憶】Phase 2運用手順を追加,https://github.com/tamago2022/joy-relief-station/compare/main...agent/ai-memory-bus-phase2
origin/agent/shared-context-delivery,candidate,44,168,4,共有記憶の現在地を配達フェーズへ更新,https://github.com/tamago2022/joy-relief-station/compare/main...agent/shared-context-delivery
origin/agent/shared-context-gunbai,candidate,44,192,3,feat: add Gunbai war-council command,https://github.com/tamago2022/joy-relief-station/compare/main...agent/shared-context-gunbai
origin/claude/search-facility-fix,candidate,36,241,3,共有記憶に施設の扱いと検索台帳の決定を記録する,https://github.com/tamago2022/joy-relief-station/compare/main...claude/search-facility-fix
origin/agent/dispatch-safe-relay-mvp,candidate,34,153,2,docs: record Notion agent incident and safeguards,https://github.com/tamago2022/joy-relief-station/compare/main...agent/dispatch-safe-relay-mvp
origin/agent/loop-engineering-constitution,candidate,33,170,4,Record loop engineering constitution decision,https://github.com/tamago2022/joy-relief-station/compare/main...agent/loop-engineering-constitution
origin/dispatch/url-roundtable-20260806,candidate,30,207,5,dispatch: implement URL-driven plurality roundtable,https://github.com/tamago2022/joy-relief-station/compare/main...dispatch/url-roundtable-20260806
origin/claude/song-thickness-hub-design,candidate,29,107,2,店主報告5項目の調査結果を共有記憶へ追記＋曲の厚み付け設計提案を追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/song-thickness-hub-design
origin/principle/people-power-ai-2026-08-08,candidate,28,236,2,docs: add KOBITO AI upgrade productization path,https://github.com/tamago2022/joy-relief-station/compare/main...principle/people-power-ai-2026-08-08
origin/claude/namimiko-amaejingu-0810,candidate,26,105,5,ナミミコの新作アニメを「面白いアニメ」棚と新設「アイラブミー」棚に追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/namimiko-amaejingu-0810
origin/claude/tsunageru-ig-cm-0809,candidate,26,113,4,ティロリミックスCMの曲名の誤りとテレコを直し、4曲と双方向でつなぐ,https://github.com/tamago2022/joy-relief-station/compare/main...claude/tsunageru-ig-cm-0809
origin/claude/hanasaku-tabiji-cover-0810,candidate,25,139,6,原由子「花咲く旅路」を拡充：原田知世・夏川りみの名カバー、CM連携、裏タグ,https://github.com/tamago2022/joy-relief-station/compare/main...claude/hanasaku-tabiji-cover-0810
origin/claude/search-japanese-punctuation,candidate,24,183,4,検索：日本語の読点等でヒットしない不具合を直す,https://github.com/tamago2022/joy-relief-station/compare/main...claude/search-japanese-punctuation
origin/claude/fix-otoboke-jijii-note,candidate,23,163,3,Otoboke Beaverのコピーずれを修理する一度きり便を追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/fix-otoboke-jijii-note
origin/claude/covers-section-trial-0814,candidate,22,161,1,fix: 試作ブランチのprettier整形差分を修正,https://github.com/tamago2022/joy-relief-station/compare/main...claude/covers-section-trial-0814
origin/claude/covers-section-trial-0814-rescue-20260816,candidate,22,161,1,feat(cover-guide): 名カバー欄の試作 — Ms.OOJA「恋人も濡れる街角」のみ最初から展開表示,https://github.com/tamago2022/joy-relief-station/compare/main...claude/covers-section-trial-0814-rescue-20260816
origin/claude/merge-stalled-prs-0813,candidate,22,214,5,merge: 検索が日本語の読点等でヒットしない不具合の修正（#18 / 22時間以上マージ待ちだった分を回収）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/merge-stalled-prs-0813
origin/claude/streaming-links-rescue-0814,candidate,21,160,14,救出：ストリーミング検索リンク（案件#70）の未コミット作業を保全する,https://github.com/tamago2022/joy-relief-station/compare/main...claude/streaming-links-rescue-0814
origin/claude/admin-login-persist,candidate,20,6,1,管理画面ログイン保持の修正（未pushだった作業ディレクトリの差分を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/admin-login-persist
origin/claude/artist-song-grid-revert-0816,candidate,20,2,1,fix: アーティストページの曲一覧を2列グリッドへ戻す,https://github.com/tamago2022/joy-relief-station/compare/main...claude/artist-song-grid-revert-0816
origin/claude/inn-related-links-0814-rescue-20260816,candidate,20,10,1,宿の関連導線（related）を追加（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/inn-related-links-0814-rescue-20260816
origin/claude/fujirock-enrich-official-links-0816,candidate,20,10,1,訂正：Björkの「Oceania (Athens 2004 Opening)」削除を取り消す,https://github.com/tamago2022/joy-relief-station/compare/main...claude/fujirock-enrich-official-links-0816
origin/claude/miniplayer-video-bg-0813,candidate,20,191,1,Merge origin/main into claude/miniplayer-video-bg-0813 before direct main push,https://github.com/tamago2022/joy-relief-station/compare/main...claude/miniplayer-video-bg-0813
origin/claude/mogumogu-related-0814,candidate,20,30,1,もぐもぐ棚の関連導線（related）を追加（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/mogumogu-related-0814
origin/claude/patrol-guard-rescue-20260816,candidate,20,94,3,見回りスクリプトの追加改善（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/patrol-guard-rescue-20260816
origin/claude/tamago-dj-sunset-rescue-20260816,candidate,20,212,2,たまごDJ「一粒」をホーム画面（index.tsx）に接続（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/tamago-dj-sunset-rescue-20260816
origin/claude/tania-maria-come-with-me-0814,candidate,20,9,1,Tania Maria「Come With Me」に原曲・カバーの双方向リンクを追加（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/tania-maria-come-with-me-0814
origin/claude/travel-inns-rescue2-20260816,candidate,20,60,4,「棚をもっと見る」導線（ShelfJumpLinks）まわりの追加調整（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/travel-inns-rescue2-20260816
origin/claude/unresolved-backlog-update-0816,candidate,20,149,1,追記訂正：Björk「Oceania」削除→worlds.tsのリンク切れに気づき復元した経緯を記録,https://github.com/tamago2022/joy-relief-station/compare/main...claude/unresolved-backlog-update-0816
origin/claude/vertical-title-fix-0814-rescue-20260816,candidate,20,203,5,グッドカバーバッジの縮小・コンシェルジュ推しバッジ画像の軽量化（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/vertical-title-fix-0814-rescue-20260816
origin/claude/unlinked-nodes-fix-a7a30094-rescue-20260816,candidate,20,15,3,未接続ノード修復：井上陽水「少年時代」のCMタイアップ元を追加（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/unlinked-nodes-fix-a7a30094-rescue-20260816
